OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
1,04.06.16,9,AS65,15,7.921466667,2.077333333,20,0,11,4,04.06.16 08:47,5.058055556,156
2,04.06.16,9,AS65,15,8.395733333,2.612,30,0,14,1,04.06.16 09:02,5.308055556,156
3,04.06.16,9,AS65,15,8.2248,2.971333333,20,0,10,5,04.06.16 09:17,5.558055556,156
4,04.06.16,10,AS65,15,8.3808,2.970666667,30,0,14,1,04.06.16 09:32,5.808055556,156
5,04.06.16,12,AS65,15,9.1666,3.404,30,15,15,0,04.06.16 12:15,8.524722222,156
6,04.06.16,13,AS65,15,9.433266667,3.328,30,8,9,6,04.06.16 12:30,8.774722222,156
7,04.06.16,13,AS65,15,9.4384,3.022,30,0,13,2,04.06.16 12:45,9.024722222,156
8,04.06.16,13,AS65,15,9.431666667,3.072666667,30,0,13,2,04.06.16 13:00,9.274722222,156
9,04.06.16,13,AS65,15,9.517333333,3.124,30,0,15,0,04.06.16 13:15,9.524722222,156
10,04.06.16,14,AS65,15,9.416866667,3.455333333,30,0,15,0,04.06.16 13:30,9.774722222,156
11,04.06.16,20,AS65,15,8.853,2.842,30,0,14,1,04.06.16 19:41,15.95805556,156
12,04.06.16,20,AS65,15,8.745466667,2.816,30,0,8,7,04.06.16 19:56,16.20805556,156
14,05.06.16,6,AS65,15,8.639533333,2.434666667,0,0,15,0,05.06.16 06:23,2.684444444,157
15,05.06.16,7,AS65,15,8.781866667,2.23,0,0,12,3,05.06.16 06:38,2.934444444,157
16,05.06.16,8,AS71,15,8.819933333,2.306,0,0,15,0,05.06.16 07:30,3.801111111,157
17,05.06.16,8,AS71,15,9.323133333,2.28,0,0,15,0,05.06.16 07:45,4.051111111,157
18,05.06.16,7,AS65,15,8.742266667,2.204,30,0,15,0,05.06.16 07:15,3.551111111,157
19,05.06.16,8,AS65,15,8.819933333,2.306,30,0,14,1,05.06.16 07:30,3.801111111,157
20,05.06.16,8,AS65,15,9.323133333,2.28,30,0,15,0,05.06.16 07:45,4.051111111,157
21,05.06.16,9,AS65,15,10.4002,2.026666667,30,0,15,0,05.06.16 08:31,4.817777778,157
22,05.06.16,9,AS65,15,10.2386,2.356,28,0,15,0,05.06.16 08:46,5.067777778,157
23,05.06.16,9,AS65,15,10.3854,2.204,0,0,15,0,05.06.16 09:01,5.317777778,157
25,07.06.16,9,AS62,15,7.666133333,2.026666667,0,0,15,0,07.06.16 08:56,5.282777778,159
26,07.06.16,9,AS62,15,7.771666667,2.001333333,0,0,15,0,07.06.16 09:11,5.532777778,159
27,07.06.16,9,AS62,15,7.765,1.950666667,0,0,15,0,07.06.16 09:26,5.782777778,159
28,07.06.16,10,AS62,15,7.716533333,1.849333333,0,0,15,0,07.06.16 09:41,6.032777778,159
29,07.06.16,10,AS62,15,7.986666667,2.128,0,0,15,0,07.06.16 09:56,6.282777778,159
30,07.06.16,10,AS62,15,8.301133333,2.484,0,0,15,0,07.06.16 10:11,6.532777778,159
31,07.06.16,10,AS62,15,8.5334,2.586,16,0,11,4,07.06.16 10:26,6.782777778,159
32,07.06.16,10,AS74,15,7.7182,1.849333333,0,0,15,0,07.06.16 09:40,6.016111111,159
33,07.06.16,10,AS74,15,7.965,2.153333333,0,0,15,0,07.06.16 09:55,6.266111111,159
34,07.06.16,10,AS74,15,8.2878,2.433333333,5,0,15,0,07.06.16 10:10,6.516111111,159
35,07.06.16,10,AS74,15,8.5102,2.56,15,0,13,2,07.06.16 10:25,6.766111111,159
36,07.06.16,12,AS75,15,9.737266667,2.92,15,0,15,0,07.06.16 12:15,8.599444444,159
37,07.06.16,13,AS75,15,9.825866667,2.460666667,15,0,15,0,07.06.16 12:30,8.849444444,159
38,07.06.16,13,AS75,15,9.691466667,2.612666667,15,0,15,0,07.06.16 12:45,9.099444444,159
39,07.06.16,13,AS75,15,9.505733333,2.586,15,0,15,0,07.06.16 13:00,9.349444444,159
40,07.06.16,13,AS75,15,9.645333333,2.330666667,15,0,15,0,07.06.16 13:15,9.599444444,159
41,07.06.16,15,AS75,15,10.53526667,1.849333333,0,0,15,0,07.06.16 14:30,10.84944444,159
42,07.06.16,15,AS75,15,10.43586667,1.444,0,0,15,0,07.06.16 14:45,11.09944444,159
43,07.06.16,15,AS75,15,9.7768,1.013333333,0,0,15,0,07.06.16 15:00,11.34944444,159
44,07.06.16,12,AS59,15,9.948733333,2.868,30,0,12,3,07.06.16 12:02,8.382777778,159
45,07.06.16,12,AS59,15,9.647066667,2.92,16,1,8,7,07.06.16 12:17,8.632777778,159
46,07.06.16,13,AS59,15,9.858733333,2.383333333,15,0,10,5,07.06.16 12:32,8.882777778,159
47,07.06.16,13,AS59,15,9.6832,2.612666667,15,0,15,0,07.06.16 12:47,9.132777778,159
48,07.06.16,13,AS59,15,9.502466667,2.586,15,0,15,0,07.06.16 13:02,9.382777778,159
49,07.06.16,13,AS59,15,9.686333333,2.305333333,15,0,8,7,07.06.16 13:17,9.632777778,159
50,07.06.16,14,AS59,15,10.47153333,2.282,8,0,15,0,07.06.16 13:32,9.882777778,159
51,07.06.16,15,AS59,15,10.3052,1.342666667,0,0,15,0,07.06.16 14:47,11.13277778,159
52,07.06.16,16,AS62,15,10.61046667,2.229333333,0,0,10,5,07.06.16 16:03,12.39944444,159
53,07.06.16,16,AS62,15,11.0136,2.486,0,0,15,0,07.06.16 16:18,12.64944444,159
54,07.06.16,17,AS62,15,10.88426667,2.254666667,0,0,15,0,07.06.16 16:33,12.89944444,159
55,07.06.16,12,AS50,15,9.881533333,2.816,23,0,15,0,07.06.16 12:00,8.349444444,159
56,07.06.16,12,AS50,15,9.737266667,2.92,15,0,14,1,07.06.16 12:15,8.599444444,159
57,07.06.16,13,AS50,15,9.825866667,2.460666667,15,0,15,0,07.06.16 12:30,8.849444444,159
58,07.06.16,13,AS50,15,9.691466667,2.612666667,15,0,15,0,07.06.16 12:45,9.099444444,159
59,07.06.16,12,AS60,15,9.737266667,2.92,15,0,15,0,07.06.16 12:15,8.599444444,159
60,07.06.16,13,AS60,15,9.825866667,2.460666667,15,0,15,0,07.06.16 12:30,8.849444444,159
62,07.06.16,13,AS60,15,9.691466667,2.612666667,15,0,15,0,07.06.16 12:45,9.099444444,159
63,07.06.16,13,AS60,15,9.505733333,2.586,15,0,15,0,07.06.16 13:00,9.349444444,159
64,07.06.16,15,AS60,15,9.7768,1.013333333,0,0,15,0,07.06.16 15:00,11.34944444,159
69,24.06.16,17,AS63,15,14.30193333,0.810666667,16,0,15,0,24.06.16 16:45,13.21638889,176
70,05.06.16,7,AS50,15,8.742266667,2.204,30,0,15,0,05.06.16 07:15,3.551111111,157
71,05.06.16,8,AS50,15,8.819933333,2.306,30,0,15,0,05.06.16 07:30,3.801111111,157
72,14.06.16,7,AS52,15,10.25653333,3.504666667,0,0,15,0,14.06.16 06:40,3.132222222,166
73,14.06.16,7,AS52,15,10.33173333,3.556666667,0,0,15,0,14.06.16 06:55,3.382222222,166
74,14.06.16,6,AS53,15,9.9688,3.354,0,0,15,0,14.06.16 06:10,2.632222222,166
75,14.06.16,6,AS53,15,10.07846667,3.354,0,0,15,0,14.06.16 06:25,2.882222222,166
77,14.06.16,7,AS53,15,10.33173333,3.556666667,0,0,12,3,14.06.16 06:55,3.382222222,166
78,14.06.16,7,AS54,15,10.04566667,4.164666667,0,0,15,0,14.06.16 07:19,3.782222222,166
79,14.06.16,8,AS54,15,10.03246667,4.164666667,0,0,15,0,14.06.16 07:34,4.032222222,166
80,14.06.16,8,AS54,15,10.1716,3.936666667,0,0,15,0,14.06.16 07:49,4.282222222,166
81,14.06.16,8,AS54,15,10.2582,3.835333333,0,0,15,0,14.06.16 08:04,4.532222222,166
82,14.06.16,7,AS56,15,10.0506,4.19,0,0,15,0,14.06.16 07:18,3.765555556,166
83,14.06.16,8,AS56,15,10.0308,4.164666667,0,0,15,0,14.06.16 07:33,4.015555556,166
84,14.06.16,8,AS56,15,10.16013333,3.962,0,0,15,0,14.06.16 07:48,4.265555556,166
85,14.06.16,8,AS56,15,10.25006667,3.759333333,0,0,15,0,14.06.16 08:03,4.515555556,166
86,05.06.16,7,AS59,15,8.742266667,2.204,30,0,12,3,05.06.16 07:15,3.551111111,157
87,05.06.16,8,AS59,15,8.819933333,2.306,30,0,15,0,05.06.16 07:30,3.801111111,157
88,05.06.16,7,AS60,15,8.449,3.328666667,30,0,15,0,05.06.16 07:15,3.551111111,157
89,05.06.16,8,AS60,15,8.6692,2.638,30,0,15,0,05.06.16 07:30,3.801111111,157
90,05.06.16,8,AS62,15,9.857133333,2.254666667,30,0,13,2,05.06.16 08:04,4.367777778,157
